           sample     id                                                                      file    MSA        disp   pointing  ext  redshift  alias                                                                                                  file_path
62    CEERs_DR0.7     23              hlsp_ceers_jwst_nirspec_nirspec10-000023_g140m_v0.7_s2d.fits     23       g140m  nirspec10  s2d  8.878290    NaN                   CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g140m_v0.7_s2d.fits
63    CEERs_DR0.7     23       hlsp_ceers_jwst_nirspec_nirspec10-000023_g140m_v0.7_x1d-masked.fits     23       g140m  nirspec10  x1d  8.878290    NaN            CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g140m_v0.7_x1d-masked.fits
64    CEERs_DR0.7     23              hlsp_ceers_jwst_nirspec_nirspec10-000023_g235m_v0.7_s2d.fits     23       g235m  nirspec10  s2d  8.878290    NaN                   CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g235m_v0.7_s2d.fits
65    CEERs_DR0.7     23       hlsp_ceers_jwst_nirspec_nirspec10-000023_g235m_v0.7_x1d-masked.fits     23       g235m  nirspec10  x1d  8.878290    NaN            CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g235m_v0.7_x1d-masked.fits
66    CEERs_DR0.7     23              hlsp_ceers_jwst_nirspec_nirspec10-000023_g395m_v0.7_s2d.fits     23       g395m  nirspec10  s2d  8.878290    NaN                   CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g395m_v0.7_s2d.fits
67    CEERs_DR0.7     23       hlsp_ceers_jwst_nirspec_nirspec10-000023_g395m_v0.7_x1d-masked.fits     23       g395m  nirspec10  x1d  8.878290    NaN            CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000023_g395m_v0.7_x1d-masked.fits
68    CEERs_DR0.7     24         hlsp_ceers_jwst_nirspec_nirspec10-000024_comb-mgrat_v0.7_s2d.fits     24  comb-mgrat  nirspec10  s2d  8.997816    NaN         CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000024_comb-mgrat_v0.7_s2d.fits
69    CEERs_DR0.7     24  hlsp_ceers_jwst_nirspec_nirspec10-000024_comb-mgrat_v0.7_x1d-masked.fits     24  comb-mgrat  nirspec10  x1d  8.997816    NaN  CEERs_DR0.7/nirspec10/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec10-000024_comb-mgrat_v0.7_x1d-masked.fits
70    CEERs_DR0.7     24              hlsp_ceers_jwst_nirspec_nirspec10-000024_g140m_v0.7_s2d.fits     24       g140m  nirspec10  s2d  8.997816    NaN                   CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g140m_v0.7_s2d.fits
71    CEERs_DR0.7     24       hlsp_ceers_jwst_nirspec_nirspec10-000024_g140m_v0.7_x1d-masked.fits     24       g140m  nirspec10  x1d  8.997816    NaN            CEERs_DR0.7/nirspec10/g140m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g140m_v0.7_x1d-masked.fits
72    CEERs_DR0.7     24              hlsp_ceers_jwst_nirspec_nirspec10-000024_g235m_v0.7_s2d.fits     24       g235m  nirspec10  s2d  8.997816    NaN                   CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g235m_v0.7_s2d.fits
73    CEERs_DR0.7     24       hlsp_ceers_jwst_nirspec_nirspec10-000024_g235m_v0.7_x1d-masked.fits     24       g235m  nirspec10  x1d  8.997816    NaN            CEERs_DR0.7/nirspec10/g235m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g235m_v0.7_x1d-masked.fits
74    CEERs_DR0.7     24              hlsp_ceers_jwst_nirspec_nirspec10-000024_g395m_v0.7_s2d.fits     24       g395m  nirspec10  s2d  8.997816    NaN                   CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g395m_v0.7_s2d.fits
75    CEERs_DR0.7     24       hlsp_ceers_jwst_nirspec_nirspec10-000024_g395m_v0.7_x1d-masked.fits     24       g395m  nirspec10  x1d  8.997816    NaN            CEERs_DR0.7/nirspec10/g395m/hlsp_ceers_jwst_nirspec_nirspec10-000024_g395m_v0.7_x1d-masked.fits
76    CEERs_DR0.7     38          hlsp_ceers_jwst_nirspec_nirspec5-000038_comb-mgrat_v0.7_s2d.fits     38  comb-mgrat   nirspec5  s2d  7.450740    NaN           CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000038_comb-mgrat_v0.7_s2d.fits
77    CEERs_DR0.7     38   hlsp_ceers_jwst_nirspec_nirspec5-000038_comb-mgrat_v0.7_x1d-masked.fits     38  comb-mgrat   nirspec5  x1d  7.450740    NaN    CEERs_DR0.7/nirspec5/comb-mgrat/hlsp_ceers_jwst_nirspec_nirspec5-000038_comb-mgrat_v0.7_x1d-masked.fits
78    CEERs_DR0.7     38               hlsp_ceers_jwst_nirspec_nirspec5-000038_g140m_v0.7_s2d.fits     38       g140m   nirspec5  s2d  7.450740    NaN                     CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000038_g140m_v0.7_s2d.fits
79    CEERs_DR0.7     38        hlsp_ceers_jwst_nirspec_nirspec5-000038_g140m_v0.7_x1d-masked.fits     38       g140m   nirspec5  x1d  7.450740    NaN              CEERs_DR0.7/nirspec5/g140m/hlsp_ceers_jwst_nirspec_nirspec5-000038_g140m_v0.7_x1d-masked.fits
80    CEERs_DR0.7     38               hlsp_ceers_jwst_nirspec_nirspec5-000038_g235m_v0.7_s2d.fits     38       g235m   nirspec5  s2d  7.450740    NaN                     CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000038_g235m_v0.7_s2d.fits
81    CEERs_DR0.7     38        hlsp_ceers_jwst_nirspec_nirspec5-000038_g235m_v0.7_x1d-masked.fits     38       g235m   nirspec5  x1d  7.450740    NaN              CEERs_DR0.7/nirspec5/g235m/hlsp_ceers_jwst_nirspec_nirspec5-000038_g235m_v0.7_x1d-masked.fits
